,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
67,2006-08-31,339520576.19993734,388118993.7958624,410709127.75361073,339520576.19993734,339520576.19993734,59825355.355723575,59825355.355723575,59825355.355723575,59825355.355723575,59825355.355723575,59825355.355723575,0.0,0.0,0.0,399345931.5556609
68,2006-09-30,339710392.21383154,332542276.52144843,354362017.02877,339710392.21383154,339710392.21383154,3656715.5683486667,3656715.5683486667,3656715.5683486667,3656715.5683486667,3656715.5683486667,3656715.5683486667,0.0,0.0,0.0,343367107.7821802
69,2006-10-31,339906535.42818886,304656044.3367153,327121519.7098658,339906535.42818886,339906535.42818886,-23891172.754506864,-23891172.754506864,-23891172.754506864,-23891172.754506864,-23891172.754506864,-23891172.754506864,0.0,0.0,0.0,316015362.673682
70,2006-11-30,340096351.442083,297513371.38474417,320533191.22903246,340096351.442083,340096351.442083,-31185030.572504267,-31185030.572504267,-31185030.572504267,-31185030.572504267,-31185030.572504267,-31185030.572504267,0.0,0.0,0.0,308911320.8695787
71,2006-12-31,340292494.6564403,329908796.42039835,352602349.6651283,340292494.6564403,340292494.6564403,1226662.346895973,1226662.346895973,1226662.346895973,1226662.346895973,1226662.346895973,1226662.346895973,0.0,0.0,0.0,341519157.0033363
72,2007-01-31,340488637.8707977,343187870.27369535,366226152.78615606,340488637.8707977,340488637.8707977,14429293.316616435,14429293.316616435,14429293.316616435,14429293.316616435,14429293.316616435,14429293.316616435,0.0,0.0,0.0,354917931.1874141
73,2007-02-28,340665799.48376554,301923280.20703447,325147608.3477185,340665799.48376554,340665799.48376554,-26506028.108614974,-26506028.108614974,-26506028.108614974,-26506028.108614974,-26506028.108614974,-26506028.108614974,0.0,0.0,0.0,314159771.37515056
74,2007-03-31,340699349.29191834,312200949.35557055,334598075.0766886,340699349.29191834,340699349.29191834,-17959398.229413815,-17959398.229413815,-17959398.229413815,-17959398.229413815,-17959398.229413815,-17959398.229413815,0.0,0.0,0.0,322739951.06250453
75,2007-04-30,340731816.8481952,287604159.62553316,308923168.092931,340731816.8481952,340731816.8481952,-42689779.56348049,-42689779.56348049,-42689779.56348049,-42689779.56348049,-42689779.56348049,-42689779.56348049,0.0,0.0,0.0,298042037.2847147
76,2007-05-31,340765366.65634793,314259087.4408802,337936981.1685093,340765366.65634793,340765366.65634793,-15476227.556943927,-15476227.556943927,-15476227.556943927,-15476227.556943927,-15476227.556943927,-15476227.556943927,0.0,0.0,0.0,325289139.099404
